MS:  	 1823: 
[DELstart] which[DELend][ADDstart] s[ADDend][ADDstart] and[ADDend] deprives 	 which follows, and deprives 
[DELstart] mind[DELend][ADDstart] soul[ADDend]  	 soul 
 or 	 and 
died— She rested. [DELstart] But[DELend][ADDstart] &[ADDend]  	 died; she rested; and 
alive  the 	 alive. The 
 veins 	 veins, 
 & 	 and 
 heart 	 heart, 
remove–[DELstart] destroyed[DELend] leep 	 remove. Sleep 
 eyes. 	 eyes; 
 spirit 	 spirit, 
[DELstart] done[DELend][ADDstart] ^[ADDend] had 	 had 
 mischief beyond 	 mischiefbeyond 
[ADDstart] ^[ADDend][ADDstart] horrible,[ADDend]  	 horrible, 
[DELstart] hor[DELend][ADDstart] hor[ADDend]  more 	 more, 
 more 	 more, 
 my self) 	 myself) 
 in store. 	 behind. 
kind ness 	 kindness, 
[DELstart] benevolence[DELend][ADDstart] goodness[ADDend]  – 	 the love of virtue. 
 intentions 	 intentions, 
[ADDstart] ^[ADDend][ADDstart] could[ADDend]  	 should 
practise  	 practice, 
fellow [DELstart] But[DELend][ADDstart] N[ADDend] ow 	 fellow-beings. Now 
blasted[ADDstart] ;[ADDend]  Instead 	 blasted: instead 
 conscience 	 conscience, 
 on my actions 	 upon the past 
self satis faction, 	 self-satisfaction, 
[ADDstart] ^[ADDend] to 	 to 
hopes  . 	 hopes, 
 and 	 which 
[DELstart] no tongue[DELend] of 	 of 
 tortures 	 tortures, 
 This 	 describe.     This 
[DELstart] allt[DELend][DELstart] altered[DELend] preyed 	 preyed 
 health 	 health, 
[DELstart] nearly[DELend][ADDstart] entirely[ADDend]  	 entirely 
 Solitude 	 solitude 
 consolation deep, 	 consolation—deep, 
[DELstart] night[DELend] death-like 	 death-like 
[DELstart] how[DELend] the 	 the 
 dispositions & 	 disposition and 
[DELstart] were altered[DELend]  	[NO 1823 VARIANT]
 "Do 	 “Do 
 Victor" 	 Victor,” 
he  "That 	 he, “that 
 also– no 	 also? No 
[DELstart] d[DELend][ADDstart] ^[ADDend][ADDstart] could[ADDend] a 	 could love a 
[DELstart] did[DELend][ADDstart] loved[ADDend]  	 loved 
brother– [DELstart] and[DELend]  tears 	 brother;” (tears 
[DELstart] into[DELend]  	[NO 1823 VARIANT]
 said this) but 	 spoke); “but 
[DELstart] our[DELend][ADDstart] a[ADDend]  	 a 
 add 	[NO 1823 VARIANT]
grief of[DELstart] owed[DELend][DELstart] ir[DELend][DELstart] not[DELend][DELstart] add to[DELend][ADDstart] ^[ADDend] that 	 survivors, that 
[DELstart] adding to[DELend]  	 augmenting 
 grief. 	 grief? 
day[ADDstart] ly[ADDend]  usefullness 	 daily usefulness, 
  	 society.” 
 This 	 This 
utterly inna plicable 	 totally inapplicable 
 grief 	 grief, 
 friends 	 friends, 
 despair 	 despair, 
[DELstart] also[DELend]  	[NO 1823 VARIANT]
[DELstart] chal[DELend]  	[NO 1823 VARIANT]
very  agreable 	 particularly agreeable 
 me in particular. 	 me. 
 of the town 	[NO 1823 VARIANT]
 o'clock 	 o’clock, 
[DELstart] stay[DELend][DELstart] ing[DELend][ADDstart] ^[ADDend][ADDstart] ing[ADDend][ADDstart] remaining[ADDend]  	 remaining 
 hour 	 hour, had 
 free: often, 	 free. Often, 
 night 	 night, 
 boat 	 boat, 
the  night 	 many hours 
 water: sometimes 	 water. Sometimes, 
 set 	 set, 
 wind 	 wind; 
 sometimes 	 sometimes, 
[DELstart] wo[DELend]  	[NO 1823 VARIANT]
 lake 	 lake, 
[DELstart] take[DELend][ADDstart] ^[ADDend][ADDstart] pursue[ADDend]  	 pursue 
 course 	 course, 
[DELstart] followed[DELend][ADDstart] ^[ADDend] gave 	 gave 
tempted [DELstart] w[DELend]  	 tempted, 
[DELstart] quiet[DELend][ADDstart] ^[ADDend][ADDstart] at peace[ADDend] around me 	 at peace around me, 
  	[NO 1823 VARIANT]
[ADDstart] &[ADDend]  heavenly; 	 and heavenly, 
 alone 	[NO 1823 VARIANT]
the[ADDstart] ^[ADDend] frogs, 	 the frogs, 
[DELstart] of the frogs[DELend][DELstart] which[DELend][DELstart] I[DELend][ADDstart] was[ADDend]  	 was 
 shore; often 	 shore—often, 
[DELstart] still and[DELend]  	[NO 1823 VARIANT]
lake [DELstart] and let[DELend][ADDstart] that[ADDend]  	 lake, that 
waters[ADDstart] >^[ADDend][ADDstart] might[ADDend]  	 waters might 
& my 	 and my 
 restrained 	 restrained, 
[ADDstart] &[ADDend] suffering Elizabeth 	 and suffering Elizabeth, 
 And then 	[NO 1823 VARIANT]
 father 	 father, 
brother; [DELstart] And[DELend] should 	 brother: should 
 not 	[NO 1823 VARIANT]
 & 	 and 
[DELstart] I[DELend]  	[NO 1823 VARIANT]
 lose 	 loose 
 bitterly 	 bitterly, 
[DELstart] if[DELend]  	[NO 1823 VARIANT]
— that 	 that 
 happiness — but 	 happiness. But 
[DELstart] took away[DELend][ADDstart] extinguished[ADDend]  	 be. Remorse extinguished 
 hope— 	 hope. 
[DELstart] cause[DELend][ADDstart] author[ADDend]  	 author 
 evil, 	 evils; 
fear [ADDstart] let[ADDend]  	 fear, lest 
might [DELstart] commit[DELend][ADDstart] perpetrate[ADDend] some 	 should perpetrate some 
 –I 	 I 
a[ADDstart] n[ADDend][ADDstart] obscure[ADDend]  	 an obscure 
[DELstart] cr[DELend]  crime 	 crime, 
 would 	 should 
 There 	 There 
 fear 	 fear, 
 that 	[NO 1823 VARIANT]
  	 behind. 
 conceived – 	 conceived. 
 him 	 him, 
 teeth 	 teeth, 
inflam ed 	 inflamed, 
[DELstart] though[DELend]  	[NO 1823 VARIANT]
moderation   	 moderation. 
highest peak 	 highest peak 
 Andes 	 Andes, 
 I 	 I, 
 there 	 there, 
[DELstart] foot[DELend][ADDstart] base[ADDend] ; 	 base. 
 but 	[NO 1823 VARIANT]
 again 	 again, 
 head 	 head, 
Justine. Our 	 Justine.     Our 
[DELstart] now[DELend]  	[NO 1823 VARIANT]
 mourning, my father's 	 mourning. My father’s 
 desponding 	 desponding; 
 sacriledge towards 	 sacrilege toward 
eter woe 	 eternal woe 
creature [DELstart] she had been when[DELend][DELstart] last saw her[DELend] who 	 creature, who 
had [DELstart] – who[DELend][ADDstart] had[ADDend]  	[NO 1823 VARIANT]
[DELstart] on[DELend]  	[NO 1823 VARIANT]
 lake 	 lake, 
 extacy 	 ecstacy 
 prospects– 	 prospects. 
[DELstart] was[DELend] had 	 had 
[DELstart] talked[DELend]  	 conversed 
 fortune 	 fortune, 
life—  "When 	 life.     “When 
 Cousin," she 	 cousin,” 
 "on 	 she, “on 
[DELstart] things[DELend]  	[NO 1823 VARIANT]
 in the same light 	[NO 1823 VARIANT]
[DELstart] Stories[DELend][ADDstart] ^[ADDend][ADDstart] me.[ADDend] I 	 me. Before, I 
 injustice 	 injustice, 
 others 	 others, 
 days 	 days, 
evils[ADDstart] ;[ADDend] At 	 evils; at 
  	[NO 1823 VARIANT]
imagination  	 the imagination; 
 home 	 home, 
 others 	 other’s 
 unjust.–Every one 	 unjust. Every body 
 guilty, 	 guilty; 
[DELstart] had[DELend][ADDstart] ^[ADDend] could 	 could 
[DELstart] she not[DELend]  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] human[ADDend]  	 human 
 jewels 	 jewels, 
 & 	 and 
 birth 	 birth, 
[DELstart] its[DELend]  	[NO 1823 VARIANT]
 own. 	 own! 
being [DELstart] yet[DELend][ADDstart] but[ADDend]  	 being; but 
[DELstart] woman[DELend][DELstart] unworthy of life[DELend][DELstart] as[DELend][ADDstart] being[ADDend]  	 creature 
 – 	[NO 1823 VARIANT]
she[DELstart] she[DELend]  	 she 
inno[DELstart] –[DELend] I 	 innocent. I know, I 
 innocent You 	 innocent; you 
 opinion 	 opinion, 
 Alas, Victor! 	 Alas! Victor, 
[DELstart] lies[DELend][DELstart] appear[DELend][DELstart] look[DELend][ADDstart] ^[ADDend][ADDstart] falsehood look[ADDend]  	 falsehood 
them  selves 	 themselves 
 precipiece 	 a precipice, 
crowding & endeavouring 	 crowding, and endeavouring 
  	 abyss. 
 & 	 and 
assassi nated 	 assassinated, 
escap[ADDstart] es[ADDend] human lineaments; 	 escapes; 
abou[ADDstart] t[ADDend] the 	 about the 
 free & 	 free, and 
[DELstart] if[DELend]  	[NO 1823 VARIANT]
[DELstart] tomo[DELend]  	[NO 1823 VARIANT]
 condemmed 	 condemned 
 crimes 	 crimes, 
wretch." I 	 wretch.”     I 
 agony – I – 	 agony. I, 
[DELstart] ind[DELend][ADDstart] ^[ADDend][ADDstart] in[ADDend]  deed 	 in deed, 
 effect 	 effect, 
 murderer.— 	 murderer. 
hand  said–"My 	 hand, said, “My 
 yourself; these 	 yourself. These 
affect  ed me 	 affected me, 
 deeply! 	 deeply; 
 misery 	 despair, 
 revenge 	 revenge, 
 countenance 	 countenance, 
 tremble; be 	 tremble. Be 
[DELstart] beloved[DELend][DELstart] best[DELend][ADDstart] ^[ADDend][ADDstart] best[ADDend] Victor, 	 dear Victor; 
happy; [DELstart] quite[DELend] quiet 	 happy: quiet 
 country 	 country, 
  	[NO 1823 VARIANT]
 world 	 world, 
tranquillity?" She 	 tranquillity?”     She 
this  distrusting 	 this, distrusting 
 which 	 that 
[DELstart] but[DELend][ADDstart] but[ADDend]  	 gave; but 
 father 	 father, 
 face, 	 face 
[DELstart] w[DELend]  	[NO 1823 VARIANT]
 feel 	 feel, 
 serenity – 	 serenity. 
[DELstart] th[DELend]  	[NO 1823 VARIANT]
[DELstart] a[DELend]  	 he 
country &[DELstart] from[DELend][ADDstart] induced by[ADDend] the 	 country; and, induced by the 
 reasons 	 motive, 
[DELstart] I[DELend]  	[NO 1823 VARIANT]
[DELstart] tak[DELend] journey 	 make an excursion 
 Valley 	 valley 
C[ADDstart] ^[ADDend][ADDstart] h[ADDend] amounix. 	 Chamounix. 
 before 	 before, 
 & 	 and 
 had, 	 had; 
 a wish 	 an earnest desire 
 place 	 place, 
 & 	 and 
august [DELstart] more[DELend][DELstart] than[DELend]  	 August, 
Justine. The 	 Justine.     The 
 beautiful 	 uncommonly fine; 
[DELstart] d[DELend]  	 mine 
 circumstance 	 circumstance, 
 voyage 	 excursion 
[DELstart] which[DELend] intended 	 intended 
father [DELstart] intended[DELend] . 	 father. 
  	 was, I 
I wa[DELstart] and sometimes[DELend][DELstart] amused.[DELend][DELstart] somehow[DELend][ADDstart] somewhat[ADDend][ADDstart] in the scene..it sometimes[ADDend][ADDstart] lulled, it[ADDend]  	 somewhat interested in the scene; it sometimes lulled, although it 
grief.[ADDstart] during[ADDend] The 	 grief. During the 
distance  to 	 distance, towards 
[DELstart] Br[DELend] We 	 We 
 Arve 	 river Arve, 
 degrees 	 degrees; 
 set 	 set, 
 saw 	 beheld 
&preci pieces 	 and precipices 
[DELstart] each[DELend][DELstart] of us[DELend][ADDstart] every[ADDend] & 	 every side, and 
[DELstart] moun[DELend] the 	 the 
raging[DELstart] tain[DELend][DELstart] streams[DELend] among 	 raging among 
the [DELstart] .[DELend][ADDstart] around.[ADDend] The 	 water-falls around.     The 
 on mules 	 upon mules; 
 higher; 	 higher, 
beautiful & verdant appear ance – 	 magnificent and astonishing character. 
[DELstart] built[DELend][ADDstart] ^[ADDend][ADDstart] builthanging[ADDend]  	 hanging 
 & 	 and 
 beauty.. 	 beauty. 
augment[ADDstart] ed[ADDend] rendered 	 augmented and rendered 
 alps 	 Alps, 
[ADDstart] &[ADDend]  	 and 
[DELstart] pir[DELend] piramids & 	 pyramids and 
[DELstart] the[DELend]  	 all, as belonging to 
earth —the  	 earth, the 
of beings[DELstart] e[DELend]  after we entered the valley 	[NO 1823 VARIANT]
[DELstart] wondeful[DELend] We 	 beings.     We 
[DELstart] Pellisier[DELend] Pellissier, 	 Pelissier, 
 ravine 	 ravine, 
 forms 	 forms, 
 us 	 us, 
 which over hung it–. 	 that overhangs it. 
 Valley 	 valley 
 sublime 	 sublime, 
 & 	 and 
 Servox; 	 Servox, 
 & 	 and 
w[DELstart] h[DELend] ere 	 were 
 boundaries 	 immediate boundaries; 
[DELstart] t[DELend]  	[NO 1823 VARIANT]
 or 	 and 
road, [DELstart] and[DELend]  	 road; 
 Avelanche 	 avelânche, 
 passage.–Mont 	 passage. Mont 
 supreme & 	 supreme and 
 Blanc 	 Blanc, 
  	 aiguilles , 
tremen  	 tremendous  dome  
valley. During 	 valley.     During 
 journey 	 journey, 
 Elizabeth 	 Elizabeth, 
 scene.— And often 	 scene. 
[DELstart] let my[DELend]  	 often 
 behind & 	 behind, and 
  	[NO 1823 VARIANT]
[DELstart] my mule[DELend] the 	 the 
 companions 	 companions, 
 and 	 and, 
 all 	 all, 
 distance 	 distance, 
 alighted 	 alighted, 
grass [DELstart] to shut out[DELend]  	 grass, 
 & 	 and 
 we 	 I 
[DELstart] Myrtella[DELend][DELstart] was[DELend][ADDstart] ^[ADDend] My 	 My 
 & 	 and 
fatigued. [DELstart] a[DELend]  Ernest 	 fatigued; Ernest, 
 us 	 us, 
 delighted 	 delighted, 
 spirits– The 	 spirits; the 
 wind 	 wind, 
 that that wind 	 it 
[DELstart] us[DELend]  	[NO 1823 VARIANT]
day. We 	 day.     We 
 appartments 	 apartments, 
 sleep:– 	 sleep; 
 window 	 window, 
[ADDstart] ^[ADDend][ADDstart] pallid[ADDend]  	 pallid 
 Blanc – 	 Blanc, 
 Arve 	 Arve, 
 before 	 below 
 he 	 T HE  
 prognostics 	 prognostications 
 fine 	 fine, 
[ADDstart] ^[ADDend][ADDstart] We[ADDend]  	 We 
 Aveiron 	 Arveiron, 
[DELstart] the whole da[DELend] until 	 until 
 receiving 	 receiving. 
 feeling 	 feeling; 
[DELstart] d[DELend]  	[NO 1823 VARIANT]
 grief 	 grief, 
[DELstart] t[DELend]  	[NO 1823 VARIANT]
 tranquilized 	 tranquillized 
 also 	 also, 
[ADDstart] ^[ADDend] over 	 over 
[DELstart] over[DELend] for 	 for 
month[DELstart] s[DELend] . 	 month. 
 fatigued 	 fatigued, 
 unhappy 	 unhappy, 
 convered 	 conversed 
 the 	 my 
[DELstart] t[DELend]  	[NO 1823 VARIANT]
[DELstart] I[DELend]  	[NO 1823 VARIANT]
[DELstart] accustomed[DELend] my 	 my 
 pleased 	 pleased, 
 overjoyed; "My 	 overjoyed. “My 
 Cousin," 	 cousin,” 
 "You 	 “you 
[DELstart] cheerful[DELend][ADDstart] happy[ADDend] ; 	 happy; 
again!— The 	 again!”     The 
 torrents 	 torrents, 
 early 	 early, 
[ADDstart] ^[ADDend][ADDstart] me[ADDend] , 	 me; 
 recurred 	 recurred, 
 dissapointed 	[NO 1823 VARIANT]
 change 	 change, 
 untill 	 until 
[DELstart] rev[DELend]  	[NO 1823 VARIANT]
 the 	 those 
 me — 	 me. 
 inn 	 inn; 
[DELstart] n[DELend] ever 	 ever 
 rain 	 rain, moisture, 
 cold 	 cold, 
[DELstart] t[DELend]  	[NO 1823 VARIANT]
[DELstart] by myself[DELend][ADDstart] alone[ADDend] . 	 Montanvert. 
 ever moving 	 ever-moving 
[DELstart] had[DELend][ADDstart] produced[ADDend] upon 	 produced upon 
it [DELstart] how[DELend][ADDstart] I[ADDend] t 	 it. It 
 extacy 	 ecstacy 
 soul 	 soul, 
[ADDstart] ^[ADDend][ADDstart] it[ADDend]  	 it 
[DELstart] lower[DELend][ADDstart] obscure[ADDend]  	 obscure 
 & 	 and 
 & 	 and 
[DELstart] tranquillizing the[DELend][ADDstart] ^[ADDend][ADDstart] solemnizing[ADDend][ADDstart] ^[ADDend][ADDstart] my[ADDend]  mind & 	 solemnizing my mind, and 
 the 	[NO 1823 VARIANT]
[DELstart] by myself[DELend][ADDstart] alone[ADDend] for 	 alone, for 
 path 	 path, 
[DELstart] had the effect of[DELend][DELstart] ing[DELend][ADDstart] would[ADDend]  	 would destroy 
[DELstart] solitary[DELend] solitary 	 solitary 
scene. The 	 scene.     The 
[DELstart] to the mountain[DELend][DELstart] with[DELend][ADDstart] ^[ADDend][ADDstart] is[ADDend][ADDstart] ^[ADDend][ADDstart] ^[ADDend] but 	 is precipitous, but 
 windings 	 windings, 
enable[DELstart] s[DELend][DELstart] to[DELend]  	 enable 
 perpedicularity 	 perpendicularity 
 mountains– 	 mountain. 
terrifical  ly 	 terrifically 
 places 	 spots 
 avelanche 	 avelânche 
 perceived 	 perceived, 
 destroyed 	 destroyed, 
 bent 	 bent, 
  	[NO 1823 VARIANT]
[DELstart] juts in[DELend]  	[NO 1823 VARIANT]
[DELstart] corners[DELend][ADDstart] rocks[ADDend]  	 rocks 
[ADDstart] ^[ADDend][ADDstart] transversely[ADDend]  	 transversely 
 path 	 path, 
[DELstart] ascen[DELend]  	[NO 1823 VARIANT]
 higher 	 higher, 
inters[DELstart] persed[DELend][ADDstart] ected[ADDend][ADDstart] by[ADDend]  	 intersected by 
 the 	[NO 1823 VARIANT]
dange rous 	 dangerous, 
 sound 	 sound, 
[ADDstart] even[ADDend] speaking 	 even speaking 
 voice 	 voice, 
[ADDstart] t[ADDend]  	[NO 1823 VARIANT]
 here 	[NO 1823 VARIANT]
 luxuriant 	 luxuriant, 
 sombre 	 sombre, 
[DELstart] gravit[DELend][ADDstart] severity[ADDend]  	 severity 
beneath.[ADDstart] ;[ADDend]  Vast mist 	 beneath; vast mists 
 river 	 rivers 
[DELstart] t[DELend][ADDstart] ^[ADDend][ADDstart] it[ADDend]  	 through it, 
 mountains 	 mountains, 
 sky 	 sky, 
 me — 	 me. 
[DELstart] who can boast[DELend]  	[NO 1823 VARIANT]
 above 	 superior to 
 brute 	 brute; 
  	[NO 1823 VARIANT]
 hunger thirst 	 hunger, thirst, 
 desire 	 desire, 
[DELstart] more[DELend][ADDstart] nearly[ADDend]  free 	 nearly free; 
[DELstart] sc[DELend]  	 blows, and a 
[DELstart] work[DELend]  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
win  	 word 
 We rest, A 	 us.       We rest; a 
  sleep 	 sleep.     
 rise 	 rise; 
 wandering 	 wand’ring 
 day 	 day.     
 feel 	 feel, 
 reason – 	 reason; 
 weep 	 weep,     
 woe 	 woe, 
 It 	 away;     It 
 same –for 	 same: for, 
 sorrow 	 sorrow,     
free  Mans 	 free.     Man’s 
 ne'er 	 ne’er 
 morrow 	 morrow;     
mutability.[ADDstart] t[ADDend]  	 mutability!       It 
[DELstart] mountain[DELend][ADDstart] ascent[ADDend] . 	 ascent. 
 the 	[NO 1823 VARIANT]
 untains 	 mountains. 
 mist 	 cloud, 
 on 	 upon 
[DELstart] ice[DELend][DELstart] s[DELend][ADDstart] glacier[ADDend]  – 	 glacier. 
 uneven 	 uneven, 
[DELstart] tow[DELend]  	 descending 
& in[ADDstart] t[ADDend] erspered 	 and interspersed 
 deep— 	 deep. 
 width 	 field 
the[ADDstart] field of[ADDend] ice 	 ice 
[DELstart] nearly[DELend]  	 almost 
[DELstart] lege[DELend][ADDstart] ^[ADDend] in 	 league in 
 was 	 spent 
it – Theoppo[DELstart] t[DELend]  	 it. The opposite 
 rock.–From that 	 rock. From the 
 opposite 	 opposite, 
 league 	 league; 
[DELstart] l[DELend] lighted a fire and sitting by 	[NO 1823 VARIANT]
he  it 	[NO 1823 VARIANT]
 Blanc 	 Blanc, 
 rock 	 rock, 
& stupedous scene –  the sea 	 and stupendous scene. The sea, 
[DELstart] the[DELend]  	[NO 1823 VARIANT]
dependant  aerial 	 dependent mountains,whose aërial 
 Thier 	 Their 
 & 	 and 
  	[NO 1823 VARIANT]
heart [DELstart] sad[DELend][ADDstart] ^[ADDend] which 	 heart, which 
 somthing 	 something 
[DELstart] I clas[DELend]  	 joy; 
 exclaimed – Wandering 	 exclaimed—“Wandering 
 wander 	 wander, 
 happiness 	 happiness, 
 me 	 me, 
compa nion 	 companion, 
 life." 	 life.”     
 this 	 this, 
[DELstart] human[DELend][ADDstart] the[ADDend] figure 	 the figure 
man  	 man, 
 distance 	 distance, 
 speed— 	 speed. 
 ice 	 ice, 
 caution, 	 caution; 
 also 	 also, 
approached seem  ed 	 approached, seemed 
 man –I 	 man. I 
 troubled — 	 troubled: 
 covered 	 came over 
 eyes 	 eyes, 
[DELstart] ready to pa faint[DELend] faintness 	 a faintness 
me. of 	 me; but I was quickly restored by 
mountains quickly restored me. [DELstart] But[DELend]  	 cold gale of the mountains. 
 perceived 	 perceived, 
nearer[DELstart] oh[DELend]  sight 	 nearer, (sight 
 abhorred) 	 abhorred!) 
had [DELstart] cr[DELend] who 	[NO 1823 VARIANT]
caused me such deep misery . 	 created. 
[DELstart] an[DELend]  	[NO 1823 VARIANT]
horror [DELstart] determin[DELend][DELstart] ing[DELend][DELstart] g[DELend][ADDstart] I[ADDend][ADDstart] resolved[ADDend]  	 horror, resolving 
 approach& 	 approach, and 
I [DELstart] saw again that form from which[DELend][DELstart] I[DELend]  His 	 his 
 anguish 	 anguish, 
 malignancy. 	 malignity, while its unearthly ugliness rendered it almost too horrible for human eyes. 
[DELstart] hardly[DELend][ADDstart] ^[ADDend][ADDstart] scarcely[ADDend]  	 scarcely 
 this–anger 	 this; anger 
[DELstart] at f[DELend]  	[NO 1823 VARIANT]
 utterance 	 utterance, 
[DELstart] express[DELend]  	[NO 1823 VARIANT]
 utter 	 furious 
[DELstart] and[DELend][DELstart] re[DELend]  	[NO 1823 VARIANT]
 contempt – "Devil" 	 contempt.     “Devil!” 
 exclaimed – "do 	 exclaimed, “do 
 me 	 me? 
[ADDstart] ^[ADDend][ADDstart] you[ADDend]  dread 	 you fear 
 head – Begone 	 head? Begone, 
 insect 	 insect! 
[ADDstart] ^[ADDend][ADDstart] rather[ADDend]  Stay 	 rather stay, 
 dust and oh 	 dust! and, oh, 
 could 	 could, 
[DELstart] end[DELend][ADDstart] ^[ADDend][ADDstart] the end[ADDend] extinction 	 the extinction 
 existence 	 existence, 
 creatures 	 victims 
diabollicaly murdered" "I 	 so diabolically murdered!”     “I 
 reception" 	 reception,” 
dæmon  all 	 dæmon. “All 
[ADDstart] ^[ADDend][ADDstart] the[ADDend]  wretched – 	 the wretched; 
 hated 	 hated, 
[DELstart] conception or[DELend][DELstart] idea[DELend] all 	 all 
things.  – 	 things! 
you [DELstart] my[DELend]  	 you, 
 creator hate me 	 creator, detest 
me[DELstart] me[DELend]  	 me, 
 creature 	 creature, 
 with 	 by 
 death 	 annihilation 
[DELstart] And[DELend][DELstart] wish[DELend][ADDstart] Y[ADDend][ADDstart] purpose[ADDend]  	 You purpose 
[DELstart] And[DELend][ADDstart] H[ADDend] ow 	 How 
 me 	 me, 
& the 	 and the 
[ADDstart] ^[ADDend] If 	 If 
conditions  –I 	 conditions, I 
 peace – 	 peace; 
as I am if  but 	[NO 1823 VARIANT]
refuse  	 refuse, 
[ADDstart] ^[ADDend][ADDstart] will[ADDend]  	 will 
[DELstart] t[DELend]  	[NO 1823 VARIANT]
 death untill 	 death, until 
[DELstart] satiate[DELend]  	[NO 1823 VARIANT]
 even 	[NO 1823 VARIANT]
[DELstart] Miserable[DELend][DELstart] wretch[DELend] cried I furiously, 	 remaining friends.”     “Abhorred monster! 
 art 	 art! 
 Hell 	 hell 
[DELstart] soft for thee[DELend] mild 	 mild 
crimes. wretched 	 crimes. Wretched 
 come, 	 come on then, 
 that 	 which 
 bestowed." 	 bestowed.”     
 bounds 	 bounds; 
 sprung 	 sprang 
him [DELstart] that I[DELend][DELstart] and[DELend][DELstart] might destroy so hateful a monster–[DELend][DELstart] and[DELend][ADDstart] and[ADDend]  	 him, 
another. He 	 another.     He easily 
[ADDstart] me easily,[ADDend]  	 me, 
 said – Be 	 said,     “Be 
[DELstart] h[DELend]  	[NO 1823 VARIANT]
[ADDstart] up[ADDend] on 	 on 
head–[ADDstart] .[ADDend]  	 head. 
suffer[DELstart] r[DELend] ed enough 	 suffered enough, 
[DELstart] should[DELend]  wish 	 seek 
 encrease 	 increase 
 misery–Life 	 misery? Life, 
 be 	 may 
 anguish 	 anguish, 
 me 	 me, 
 it remember 	 it. Remember, 
[ADDstart] ^[ADDend][ADDstart] r[ADDend] ful 	 powerful 
 thyself 	 thyself; 
 yours 	 thine; 
[DELstart] do not wish to trave[DELend][DELstart] you[DELend] will 	 will 
thee,  	 thee. 
 creature 	 creature, 
you[ADDstart] to thee[ADDend] , 	[NO 1823 VARIANT]
gentle master my 	[NO 1823 VARIANT]
 master & 	 lord and 
 – 	[NO 1823 VARIANT]
[DELstart] you[DELend][ADDstart] thou[ADDend]  will 	 thou wilt also 
[DELstart] your[DELend] thy part also, 	 thy part, 
me[DELstart] towards[DELend][ADDstart] ies[ADDend][ADDstart] ^[ADDend]  	[NO 1823 VARIANT]
 Oh 	 Oh, 
 do 	 be 
[ADDstart] be[ADDend]  	[NO 1823 VARIANT]
 other 	 other, 
[ADDstart] alone[ADDend]  	 alone, 
 justice & 	 justice, and 
[DELstart] mere[DELend][DELstart] charity[DELend][ADDstart] they clemency, thy affection[ADDend]  	 thy clemency and affection, 
[DELstart] Remb[DELend]  Remember 	 Remember, 
 creature – 	 creature: 
Thy Adam – [ADDstart] ^[ADDend] but 	 thy Adam; but 
angel [DELstart] for[DELend] whom 	 angel, whom 
 driven 	 drivest 
misdeed;  every 	 misdeed. Every 
 bliss 	 bliss, 
whi[DELstart] ile[DELend][ADDstart] ch[ADDend]  	 which 
 alome 	 alone 
irrecoverably [DELstart] wretched[DELend][ADDstart] excluded[ADDend] . 	 irrevocably excluded. 
 good: 	 good; 
 happy 	 happy, 
virtuous Begone replied I – 	 virtuous.”     “Begone! 
[DELstart] cannot and[DELend] will 	 will 
 there 	 There 
 I– We 	 me; we 
 enemies — Begone 	 enemies. Begone, 
[DELstart] allhow[DELend]  	[NO 1823 VARIANT]
streng[DELstart] h[DELend] th 	 strength 
 fight 	 fight, 
fall."[DELstart] How[DELend]  How 	 fall”     “How 
you? said the  fiend— 	 thee? 
 you 	 thee 
 creature 	 creature, 
 compassion – 	 compassion. 
 Frankenstien 	 Frankenstein: 
 benevolent —my 	 benevolent; my 
  	[NO 1823 VARIANT]
 humanity 	 humanity: 
 alone 	 alone, 
alone – [DELstart] and[DELend]  	 alone? 
 creator 	 creator, 
me  What 	 me; what 
[DELstart] have I then from[DELend] can 	 can 
[ADDstart] ^[ADDend] who 	 fellow-creatures, who 
nothing. —They 	 nothing? they 
[DELstart] abhor[DELend][ADDstart] ^[ADDend][ADDstart] hate[ADDend] me. 	 hate me. 
 desart 	 desert 
 mourful 	 dreary 
 refuge—I 	 refuge. I 
 days– The 	 days; the 
ice [DELstart] are my[DELend][ADDstart] which[ADDend] I 	 ice, which I 
 fear 	 fear, 
 me 	 me, 
grudge [DELstart] to me[DELend][DELstart] And food[DELend]  – 	 grudge. 
 hail 	 hail, 
[DELstart] man[DELend][DELstart] creatures[DELend][DELstart] and[DELend][DELstart] But I no[DELend][DELstart] They[DELend][DELstart] Man[DELend][DELstart] hates me and i[DELend][DELstart] f[DELend][DELstart] they[DELend][ADDstart] your fellow creatures^[ADDend][ADDstart] beings[ADDend][ADDstart] ^[ADDend][ADDstart] Man[ADDend][ADDstart] s[ADDend] If 	 your fellow-beings. If 
existence [ADDstart] ^[ADDend][ADDstart] they[ADDend]  	 existence, they 
you[ADDstart] ^[ADDend][ADDstart] do[ADDend] arm 	 you do, and arm 
destruction – [DELstart] And[DELend][ADDstart] S[ADDend] hall 	 destruction. Shall 
 me 	 me? 
[ADDstart] ^[ADDend][ADDstart] will[ADDend]  	 will 
[DELstart] temm[DELend]  	[NO 1823 VARIANT]
[DELstart] and[DELend][ADDstart] ^[ADDend][ADDstart] my[ADDend] I 	 my enemies. I 
miserable [ADDstart] &[ADDend]  	 miserable, and 
 wretchedness– 	 wretchedness. 
pow[ADDstart] er[ADDend] to 	 power to 
 me 	 me, 
